signal_number,signal_timestamp,entry_timestamp,exit_timestamp,upside_probability,forecast_return,position,exit_reason,exit_price,underlying_return,net_return,equity
680,2024-11-24 23:00:00,2024-11-25,2024-11-25 23:00:00,0.6,0.0040491808424629,0,flat,,0.0,0.0,0.03449064948558791
681,2024-11-25 23:00:00,2024-11-26,2024-11-26 23:00:00,0.4,0.0047827805327516,0,flat,,0.0,0.0,0.03449064948558791
682,2024-11-26 23:00:00,2024-11-27,2024-11-27 23:00:00,0.4,-0.005787121935767,0,flat,,0.0,0.0,0.03449064948558791
683,2024-11-27 23:00:00,2024-11-28,2024-11-28 23:00:00,0.8,0.0047202862827041,0,flat,,0.0,0.0,0.03449064948558791
684,2024-11-28 23:00:00,2024-11-29,2024-11-29 23:00:00,0.8,0.0137813706967178,0,flat,,0.0,0.0,0.03449064948558791
685,2024-11-29 23:00:00,2024-11-30,2024-11-30 23:00:00,0.8,0.0078466369212121,0,flat,,0.0,0.0,0.03449064948558791
686,2024-11-30 23:00:00,2024-12-01,2024-12-01 23:00:00,0.6,-0.0005818858959462,0,flat,,0.0,0.0,0.03449064948558791
687,2024-12-01 23:00:00,2024-12-02,2024-12-02 23:00:00,0.8,0.0127564704606276,0,flat,,0.0,0.0,0.03449064948558791
688,2024-12-02 23:00:00,2024-12-03,2024-12-03 23:00:00,0.4,-0.0013678199352386,0,flat,,0.0,0.0,0.03449064948558791
689,2024-12-03 23:00:00,2024-12-04,2024-12-04 23:00:00,0.2,-0.0075737182695205,0,flat,,0.0,0.0,0.03449064948558791
690,2024-12-04 23:00:00,2024-12-05,2024-12-05 23:00:00,0.6,0.0056957333956286,0,flat,,0.0,0.0,0.03449064948558791
691,2024-12-05 23:00:00,2024-12-06,2024-12-06 23:00:00,0.2,-0.0022824711473534,0,flat,,0.0,0.0,0.03449064948558791
692,2024-12-06 23:00:00,2024-12-07,2024-12-07 23:00:00,0.6,0.0011385924701285,0,flat,,0.0,0.0,0.03449064948558791
693,2024-12-07 23:00:00,2024-12-08,2024-12-08 23:00:00,0.4,-0.0016779882871934,0,flat,,0.0,0.0,0.03449064948558791
694,2024-12-08 23:00:00,2024-12-09,2024-12-09 23:00:00,0.0,-0.0191806756422924,0,flat,,0.0,0.0,0.03449064948558791
695,2024-12-09 23:00:00,2024-12-10,2024-12-10 23:00:00,0.6,0.0021282939441658,0,flat,,0.0,0.0,0.03449064948558791
696,2024-12-10 23:00:00,2024-12-11,2024-12-11 23:00:00,0.6,-0.0006261328652289,0,flat,,0.0,0.0,0.03449064948558791
697,2024-12-11 23:00:00,2024-12-12,2024-12-12 23:00:00,0.6,-0.00073109608536,0,flat,,0.0,0.0,0.03449064948558791
698,2024-12-12 23:00:00,2024-12-13,2024-12-13 23:00:00,0.2,-0.0123131983729135,0,flat,,0.0,0.0,0.03449064948558791
699,2024-12-13 23:00:00,2024-12-14,2024-12-14 23:00:00,0.6,-0.004108818617388,0,flat,,0.0,0.0,0.03449064948558791
700,2024-12-14 23:00:00,2024-12-15,2024-12-15 23:00:00,0.4,-0.0007289488414988,0,flat,,0.0,0.0,0.03449064948558791
701,2024-12-15 23:00:00,2024-12-16,2024-12-16 23:00:00,0.2,-0.0152043561483585,0,flat,,0.0,0.0,0.03449064948558791
702,2024-12-16 23:00:00,2024-12-17,2024-12-17 23:00:00,0.2,-0.010988264243109,0,flat,,0.0,0.0,0.03449064948558791
703,2024-12-17 23:00:00,2024-12-18,2024-12-18 23:00:00,0.2,-0.0067419827649598,0,flat,,0.0,0.0,0.03449064948558791
704,2024-12-18 23:00:00,2024-12-19,2024-12-19 23:00:00,0.4,-0.0065335427540724,0,flat,,0.0,0.0,0.03449064948558791
705,2024-12-19 23:00:00,2024-12-20,2024-12-20 23:00:00,1.0,0.0097395978730305,1,time,97764.4,0.0033879239651743998,0.019879239651744,0.035176297372456214
706,2024-12-20 23:00:00,2024-12-21,2024-12-21 23:00:00,0.6,0.0023520991536797,0,flat,,0.0,0.0,0.035176297372456214
707,2024-12-21 23:00:00,2024-12-22,2024-12-22 23:00:00,0.4,-0.0075873827134599,0,flat,,0.0,0.0,0.035176297372456214
708,2024-12-22 23:00:00,2024-12-23,2024-12-23 23:00:00,1.0,0.0142525629640528,1,time,94861.1,-0.0030718818245064616,-0.044718818245064615,0.033603254923723
709,2024-12-23 23:00:00,2024-12-24,2024-12-24 23:00:00,0.8,0.0153669582421033,0,flat,,0.0,0.0,0.033603254923723
710,2024-12-24 23:00:00,2024-12-25,2024-12-25 23:00:00,0.4,-0.0027373438818094,0,flat,,0.0,0.0,0.033603254923723
711,2024-12-25 23:00:00,2024-12-26,2024-12-26 23:00:00,0.4,-0.0073385994574344,0,flat,,0.0,0.0,0.033603254923723
712,2024-12-26 23:00:00,2024-12-27,2024-12-27 23:00:00,0.8,0.0015533127591357,0,flat,,0.0,0.0,0.033603254923723
713,2024-12-27 23:00:00,2024-12-28,2024-12-28 23:00:00,0.8,0.0023427330204363,0,flat,,0.0,0.0,0.033603254923723
714,2024-12-28 23:00:00,2024-12-29,2024-12-29 23:00:00,0.8,0.0039893498363935,0,flat,,0.0,0.0,0.033603254923723
715,2024-12-29 23:00:00,2024-12-30,2024-12-30 23:00:00,0.2,-0.0064739360992529,0,flat,,0.0,0.0,0.033603254923723
716,2024-12-30 23:00:00,2024-12-31,2024-12-31 23:00:00,0.6,0.0066957235015788,0,flat,,0.0,0.0,0.033603254923723
717,2024-12-31 23:00:00,2025-01-01,2025-01-01 23:00:00,0.8,0.009810210221606,0,flat,,0.0,0.0,0.033603254923723
718,2025-01-01 23:00:00,2025-01-02,2025-01-02 23:00:00,1.0,0.0116715722994812,1,time,96967.5,0.025233424507485225,0.23833424507485224,0.04161206131802633
719,2025-01-02 23:00:00,2025-01-03,2025-01-03 23:00:00,0.2,-0.0060336581844432,0,flat,,0.0,0.0,0.04161206131802633
720,2025-01-03 23:00:00,2025-01-04,2025-01-04 23:00:00,0.6,-0.0043456437724729,0,flat,,0.0,0.0,0.04161206131802633
721,2025-01-04 23:00:00,2025-01-05,2025-01-05 23:00:00,0.4,-9.51761784274918e-05,0,flat,,0.0,0.0,0.04161206131802633
722,2025-01-05 23:00:00,2025-01-06,2025-01-06 23:00:00,0.2,-0.0054523258291115,0,flat,,0.0,0.0,0.04161206131802633
