rule,side,n,direction_accuracy,avg_unlevered_direction_return,avg_original_net_return,vol_col,vol_rule,p_rule,leakage_safe
p_eq_1+live_high_pre24_80,long,42,0.6904761904761905,0.014746648408342531,0.014011948322573655,rolling_prior_percentile,live_high_pre24_80,p_eq_1,True
p_eq_1+live_high_atr_80,long,46,0.6739130434782609,0.01333743806580594,0.01253393274642257,rolling_prior_percentile,live_high_atr_80,p_eq_1,True
p_ge_0p8+live_high_atr_80,long,83,0.6506024096385542,0.007959619273734266,0.007219371927274357,rolling_prior_percentile,live_high_atr_80,p_ge_0p8,True
p_ge_0p8+live_high_pre24_80,long,79,0.6455696202531646,0.007824535716906392,0.007109565301458413,rolling_prior_percentile,live_high_pre24_80,p_ge_0p8,True
p_eq_1+live_low_atr_20,long,22,0.6363636363636364,-0.005601870671896141,-0.0066751573232918865,rolling_prior_percentile,live_low_atr_20,p_eq_1,True
p_eq_1+live_high_pre72_80,long,38,0.631578947368421,0.013556393333144807,0.012877414269361625,rolling_prior_percentile,live_high_pre72_80,p_eq_1,True
p_ge_0p8+live_high_pre72_80,long,73,0.6301369863013698,0.007165492515239248,0.006464163745231762,rolling_prior_percentile,live_high_pre72_80,p_ge_0p8,True
p_ge_0p6+live_high_atr_80,long,123,0.6016260162601627,0.00628874427741483,0.0055921848515015846,rolling_prior_percentile,live_high_atr_80,p_ge_0p6,True
p_ge_0p6+live_high_pre24_80,long,122,0.5983606557377049,0.006519652099585109,0.005829940172208577,rolling_prior_percentile,live_high_pre24_80,p_ge_0p6,True
p_eq_0+live_high_atr_80,short,31,0.5806451612903226,-0.000570657028668484,-0.0025971392164922395,rolling_prior_percentile,live_high_atr_80,p_eq_0,True
p_ge_0p6+live_high_pre72_80,long,114,0.5789473684210527,0.005317861762344523,0.004651229018283156,rolling_prior_percentile,live_high_pre72_80,p_ge_0p6,True
p_eq_0+live_high_pre72_80,short,30,0.5666666666666667,0.002641569968528102,0.0007773815506845368,rolling_prior_percentile,live_high_pre72_80,p_eq_0,True
p_le_0p2+live_low_pre72_20,short,95,0.5578947368421052,0.0003830814224444279,-0.0012118629743912137,rolling_prior_percentile,live_low_pre72_20,p_le_0p2,True
p_le_0p2+live_high_pre24_80,short,65,0.5538461538461539,-0.00019091280169980426,-0.0021684389386916747,rolling_prior_percentile,live_high_pre24_80,p_le_0p2,True
p_le_0p2+live_high_atr_80,short,64,0.546875,-0.00015354824333530946,-0.0021118100905466496,rolling_prior_percentile,live_high_atr_80,p_le_0p2,True
p_le_0p2+live_low_pre24_20,short,90,0.5444444444444444,0.00181333501570408,0.0002099706709822298,rolling_prior_percentile,live_low_pre24_20,p_le_0p2,True
p_le_0p2+live_high_pre72_80,short,59,0.5423728813559322,0.002036169456392391,0.00017726021735908382,rolling_prior_percentile,live_high_pre72_80,p_le_0p2,True
p_le_0p4+live_low_pre72_20,short,150,0.54,0.0005534049865719149,-0.0010538335531853282,rolling_prior_percentile,live_low_pre72_20,p_le_0p4,True
p_le_0p4+live_high_pre24_80,short,113,0.5309734513274337,0.0007342879016371057,-0.001150015676326429,rolling_prior_percentile,live_high_pre24_80,p_le_0p4,True
p_le_0p4+live_high_atr_80,short,115,0.5304347826086957,0.0011269042830194052,-0.0007323837406920155,rolling_prior_percentile,live_high_atr_80,p_le_0p4,True
p_ge_0p6+live_low_pre24_20,long,101,0.5247524752475248,-0.0012650251877846961,-0.0025052414086487395,rolling_prior_percentile,live_low_pre24_20,p_ge_0p6,True
p_le_0p4+live_low_pre24_20,short,148,0.5202702702702703,0.0009949477211171724,-0.0005883844339349651,rolling_prior_percentile,live_low_pre24_20,p_le_0p4,True
p_ge_0p8+live_low_pre24_20,long,56,0.5178571428571429,-0.003085668361645977,-0.004328520613916966,rolling_prior_percentile,live_low_pre24_20,p_ge_0p8,True
p_le_0p4+live_high_pre72_80,short,116,0.5172413793103449,0.0005805916253472297,-0.0012381867796405703,rolling_prior_percentile,live_high_pre72_80,p_le_0p4,True
p_le_0p2+live_low_atr_20,short,87,0.5172413793103449,-0.0001734560046099184,-0.0017822914764048887,rolling_prior_percentile,live_low_atr_20,p_le_0p2,True
p_eq_0+live_low_pre24_20,short,41,0.5121951219512195,0.00290664258409168,0.0012943121872114076,rolling_prior_percentile,live_low_pre24_20,p_eq_0,True
p_le_0p4+live_low_atr_20,short,140,0.5071428571428571,-0.0006931077698164905,-0.002289183060675411,rolling_prior_percentile,live_low_atr_20,p_le_0p4,True
p_ge_0p6+live_low_atr_20,long,113,0.48672566371681414,-0.0026568018763659888,-0.0038932614809237607,rolling_prior_percentile,live_low_atr_20,p_ge_0p6,True
p_ge_0p6+live_low_pre72_20,long,110,0.4818181818181818,-0.0021778188341862446,-0.003376183364265606,rolling_prior_percentile,live_low_pre72_20,p_ge_0p6,True
p_eq_0+live_low_pre72_20,short,38,0.47368421052631576,-0.0026200075025782144,-0.004222034579095513,rolling_prior_percentile,live_low_pre72_20,p_eq_0,True
p_eq_0+live_high_pre24_80,short,31,0.45161290322580644,-0.0061350826894429,-0.008257651914608102,rolling_prior_percentile,live_high_pre24_80,p_eq_0,True
p_ge_0p8+live_low_atr_20,long,62,0.43548387096774194,-0.005445283920865552,-0.0066700495785444085,rolling_prior_percentile,live_low_atr_20,p_ge_0p8,True
p_eq_0+live_low_atr_20,short,37,0.43243243243243246,-0.00039179463274023504,-0.001992363126870291,rolling_prior_percentile,live_low_atr_20,p_eq_0,True
p_ge_0p8+live_low_pre72_20,long,65,0.4307692307692308,-0.006573388413671425,-0.007773206467748344,rolling_prior_percentile,live_low_pre72_20,p_ge_0p8,True
p_eq_1+pre_vol_24_quintile:high_vol_q5,long,44,0.6818181818181818,0.014041549506858203,0.013279522934442655,pre_vol_24_quintile,high_vol_q5,p_eq_1,False
p_eq_1+atr_24_pct_quintile:low_vol_q1_q2,long,39,0.6666666666666666,4.568393017227536e-05,-0.001070884712326356,atr_24_pct_quintile,low_vol_q1_q2,p_eq_1,False
