asset,p_rule,filter,side,n,accuracy,avg_net_1x,total_1x,avg_net_10x,total_10x
btc_5m,long_p100,mom24_up,1,23,0.5652173913043478,-0.0006263765040541954,-0.014502723687284447,-0.006263765040541952,-0.15164376052599027
btc_5m,short_p40,rsi_mid,-1,198,0.5252525252525253,-0.0006766002247196674,-0.1327741706157486,-0.006766002247196684,-0.8895985217931749
btc_5m,short_p0,rsi_hot,-1,30,0.5,-0.0007452517971927784,-0.02375911955002319,-0.007452517971927803,-0.3308113607517389
btc_5m,long_p100,mom72_up,1,23,0.5652173913043478,-0.0007577899780917806,-0.017589571363669898,-0.007577899780917801,-0.18630552674083567
btc_5m,short_p20,trend288_down,-1,161,0.4782608695652174,-0.000771387936862782,-0.12294141195466801,-0.007713879368627826,-0.8573810089473735
btc_5m,long_p80,rsi_mid,1,88,0.5795454545454546,-0.0008106996793915411,-0.07174360444730499,-0.008106996793915418,-0.6532988808244073
btc_5m,long_p100,rsi_cold,1,29,0.6206896551724138,-0.0008595087643135722,-0.025683562845242314,-0.00859508764313573,-0.30899856318182795
btc_5m,short_p20,trend72_down,-1,113,0.48672566371681414,-0.0008802559485333615,-0.09853515688341341,-0.008802559485333632,-0.7596929942927231
btc_5m,short_p40,mom24_down,-1,207,0.5072463768115942,-0.0009182165168570669,-0.18071888825153726,-0.00918216516857068,-0.9473753417853306
btc_5m,long_p80,low_vol24,1,59,0.5932203389830508,-0.0009210366558979708,-0.0539509324123173,-0.009210366558979707,-0.4855355329090316
btc_5m,short_p40,high_volume,-1,55,0.5636363636363636,-0.00093878265216603,-0.052960783503832376,-0.009387826521660316,-0.555912900899208
btc_5m,long_p80,high_volume,1,25,0.6,-0.0009835793040498012,-0.024853854166166034,-0.009835793040498008,-0.2637809139666685
btc_5m,long_p80,trend72_up,1,83,0.4939759036144578,-0.0010045998936835136,-0.082000532211004,-0.010045998936835145,-0.6514790419499705
btc_5m,short_p20,low_volume,-1,88,0.5,-0.0010106346795557488,-0.08752883854813154,-0.010106346795557497,-0.6857162143399061
btc_5m,short_p0,mom72_up,-1,41,0.5609756097560976,-0.0010178766583793654,-0.04330979712092953,-0.010178766583793665,-0.5036024988324055
btc_5m,short_p40,mom72_down,-1,229,0.5152838427947598,-0.0010546750802854906,-0.2231490681734749,-0.010546750802854915,-0.9733401009513897
btc_5m,long_p80,trend288_down,1,87,0.5977011494252874,-0.001059813541555234,-0.09214606674234604,-0.010598135415552355,-0.7519052083027006
btc_5m,long_p60,high_atr,1,85,0.5647058823529412,-0.0010707550564612947,-0.091941095635514,-0.010707550564612964,-0.7807907329385797
btc_5m,short_p20,low_vol72,-1,50,0.44,-0.001094077549323299,-0.054298047753219114,-0.010940775493232989,-0.48378654832144663
btc_5m,short_p40,trend288_down,-1,278,0.5107913669064749,-0.001102591213759146,-0.27314947255338506,-0.011025912137591468,-0.9881679019112267
btc_5m,short_p20,all,-1,252,0.49206349206349204,-0.0011478623483225695,-0.25847513205492356,-0.011478623483225703,-0.9798106677525472
btc_5m,long_p80,mom72_up,1,86,0.4883720930232558,-0.001161470753719338,-0.09707973590309515,-0.01161470753719339,-0.7071463062748957
btc_5m,short_p20,low_atr,-1,48,0.5208333333333334,-0.0011743472455054572,-0.055474911069713806,-0.011743472455054568,-0.4707735769515131
btc_5m,long_p100,trend288_up,1,40,0.525,-0.0011792504402834234,-0.047103056917573105,-0.011792504402834237,-0.44574649678070266
btc_5m,short_p20,high_vol72,-1,53,0.4528301886792453,-0.0012083473451643522,-0.0651182352833446,-0.01208347345164354,-0.6246105221277154
btc_5m,long_p60,low_volume,1,148,0.5135135135135135,-0.0012100556296074682,-0.16714928665085227,-0.012100556296074687,-0.8897541696571294
btc_5m,short_p40,trend72_up,-1,255,0.5098039215686274,-0.0012375170164374341,-0.2783372327062589,-0.012375170164374352,-0.9860796264181667
btc_5m,long_p80,all,1,218,0.518348623853211,-0.001295988738889155,-0.2520584945052792,-0.01295988738889156,-0.9742221422153128
btc_5m,long_p60,mom72_down,1,242,0.5578512396694215,-0.0013602657951862296,-0.2863647641945649,-0.013602657951862305,-0.984430448220317
btc_5m,short_p20,trend72_up,-1,139,0.49640287769784175,-0.0013654128747699115,-0.1774223103571727,-0.01365412874769912,-0.9159852531638389
btc_5m,long_p80,mom72_down,1,132,0.5378787878787878,-0.001383629244378581,-0.17164168838008487,-0.013836292443785819,-0.9119770098959914
btc_5m,short_p40,all,-1,467,0.5074946466809421,-0.0014014922065684315,-0.49048348073444537,-0.014014922065684325,-0.9998365924297269
btc_5m,long_p100,all,1,65,0.5846153846153846,-0.0014405645491775518,-0.0915342319315321,-0.01440564549177553,-0.7001629802204357
btc_5m,long_p80,trend288_up,1,131,0.46564885496183206,-0.001452837915744507,-0.17614334410505916,-0.014528379157445075,-0.8960967394424838
btc_5m,long_p60,trend72_down,1,236,0.5550847457627118,-0.001464721632167907,-0.2979866048373818,-0.014647216321679084,-0.9867548720873496
